source_id,type,title,location,primary_page,status,notes
"F24","document","A Protopian Gambit album lyrics","4th i C. infinity album A Protopian Gambit (lyrics).pdf","05","Creative source","Fourth-album lyrics, consent, repair, civic systems and infinity"
"F25","document","Starseed Code: From Aura to Infinity","3rd Album Starseed Code.txt","05","Creative source","Music about Aura, love, Minjerribah, global group marriage and the future"
"F26","document","Local Government Funding Inquiry Submission","Local Government 2Funding Inquiry Submission.pdf","08","Submission document; public lodgement to be confirmed","Incomplete Ledger, Braided Economy, C-Hour and sovereign digital twins"
"F27","image","GAJRA Earth invitation collage","WhatsApp Image 2026-09-06 at 11.00.39 AM (2).jpeg","10","Historical visual artefact","Invitation, body and mind simulation, cities and Kardashev horizon"
"F28","image","From Strange but True to Purple for Australia","WhatsApp Image 2026-09-06 at 11.00.40 AM.jpeg","08","Current concept infographic","Practical local trust growing into a civic network"
"F29","image","A Protopian Gambit cover art","A Protopian Gambit.png","05","Published creative artwork","i C. infinity cover with Australia, infinity ring and golden gambit"
"F30","image","Strange but True business card","WhatsApp Image 2026-09-06 at 11.00.41 AM (1).jpeg","01","Current physical artefact","Present sole-trader identity and practical local doorway"
"F31","image","Luke Nathan Hayes name meanings screenshot","WhatsApp Image 2026-09-06 at 11.00.41 AM (2).jpeg","01","Personal playful artefact","Name meanings and identity imagery, not an authoritative etymology source"
"F32","image","Luke portrait with Aura geometry","WhatsApp Image 2026-09-06 at 11.00.41 AM (3).jpeg","00","Current portrait","Primary human hero image"
"F33","image","P4A friendly bet page screenshot","WhatsApp Image 2026-09-06 at 11.00.42 AM (1).jpeg","08","Current site screenshot","Humour, toilet mat and the friendly-bet origin story"
"F34","image","Alpha Infinity Foundation self-permission slide","WhatsApp Image 2026-09-06 at 11.00.42 AM (2).jpeg","03","Historical visual artefact","Self-permission, conscience, learning, love and personal authorship"
"F35","image","Given enough wine screenshot","WhatsApp Image 2026-09-06 at 11.00.43 AM.jpeg","01","Personal humorous artefact","A humanising social post and optional Easter egg"
"F36","document","Luke 2024 CV after returning from India","Lukes 2024 CV after returning home to Australia from India.pdf","01","Personal record","One-page visual CV showing practical work, skills, travel and project history"
"F37","document","Straddie Fun 5th Album","Straddie Fun 5th Album.md","05","Creative source","Added from the user's Album 5 request."
"U01","video","AI, EDA and chip design video","https://youtu.be/GzhfZy8-CjU?si=7uwyX4o8peos22Qf","04","External inspiration","AI-assisted chip design trigger"
"U02","website","Aura Direct Hardware","https://auraofintelligence.github.io/aura-direct-hardware/","04","Live public project","Current processors, FPGA, custom silicon and compute commons"
"U03","website","Virtual Solar Swarm","https://auraofintelligence.github.io/virtual-solar-swarm/","10","Live public project","Choose-your-own mission design studio"
"U04","website","Extreme Matter Atlas","https://auraofintelligence.github.io/extreme-matter-atlas/","07","Live public project","Elements, materials, patterns and frontier engineering"
"U05","website","Aura of Intelligence","https://auraofintelligence.github.io/index.html","03","Live public gateway","Bridge to the infinite and the personal Aura"
"U06","website","Grain by Grain Documentary","https://auraofintelligence.github.io/grain-by-grain-documentary/index.html","07","Live public project","Civilisation of sand and generation city"
"U07","website","P4A","https://p4a.xyz","08","Live public workbench","Proposed civic movement and roots-up democracy"
"U08","website","Aura Horn Torus","https://auraofintelligence.github.io/aura-horn-torus/index.html","04","Live public prototype","Interactive 12 by 24 horn torus lattice"
"U09","website","Ready S..E.T. Co-op local projects","https://auraofintelligence.github.io/ready-set-co-op-cultural-intelligence-node/projects.html","07","Proposed public concept","Possible future co-operative and Dunwich cultural intelligence node"
"U10","website","Straddie Twins","https://auraofintelligence.github.io/straddie-twins/index.html","07","Live public models","Two digital twins of Minjerribah"
"U11","website","Future of Life 2045","https://auraofintelligence.github.io/Future-of-Life-2045/","10","Live public worldbuilding","Larger families, open intelligence, regenerative places and Cities of Light"
"U12","website","Strange but True","https://auraofintelligence.github.io/strange-but-true/index.html","01","Live sole-trader site","Current practical local work on Minjerribah"
"U13","website","Project Atlas","https://auraofintelligence.github.io/project-atlas/","11","Live public navigation layer","Audited project dates, links and evidence-backed connections"
"U14","website","Australian Law 2012: Luke's Relevance","https://auraofintelligence.github.io/australian-law-2012-lukes-relevance/index.html","02","Live historical explainer","The 2012 to 2013 break with the default system"
"U15","website","Australian Visa and Activity Atlas","https://auraofintelligence.github.io/Australian-visa-activity-atlas/","09","Live public tool","Entry and activity routes for speaking, teaching, work and creative travel"
"U16","website","Oceania Healthy De-Slop Co-ops: Co-operative Paths","https://auraofintelligence.github.io/Oceania-healthy-de-slop-co-ops/co-operative-paths/","08","Live public exploration","Locally authored co-operative paths and visible exit terms"
"U17","website","Australian Sire Story Forge","https://auraofintelligence.github.io/australian-sire-story-forge/index.html","05","Live public tool","Sourced romantasy and science-fiction story planning"
"U18","website","Loose Goose Comedy Engine","https://auraofintelligence.github.io/loose-goose-comedy-engine/index.html","05","Live public tool","Truth lock, comedy lenses and 92 BPM beat scoring"
"U19","website","Right Place, Right Time","https://auraofintelligence.github.io/right-place-right-time/index.html","09","Live public support path","Local, Australian, Oceania and world-scale journey"
"U20","website","GAJRA Earth Claude Build","https://auraofintelligence.github.io/gajra-earth-claude-build/index.html","10","Live public project","AI alignment, self-alignment and the garland metaphor"
"U21","website","Global Founder Atlas","https://auraofintelligence.github.io/global-founder-atlas/index.html","09","Live public tool","Funding, residencies, research and founder mobility"
"U22","website","Global Group Marriages","https://auraofintelligence.github.io/global-group-marriages/","06","Live public proposal","Larger self-sovereign family structures"
"U23","website","i C. infinity Music Universe","https://auraofintelligence.github.io/i-C-infinity-music-universe/index.html","05","Live public music universe","Songs, albums, stories and imaginative worlds"
"U24","website","Strange but True Cosmic Nexus","https://auraofintelligence.github.io/strange-but-true-cosmic-nexus/","05","Live public project","Mystery, maps, source trails, travel and film"
"U25","website","Luke Catalyst","https://lukecatalyst.com","01","Live personal portfolio","Earlier personal portfolio and social footer source"
"U26","website","Grey Area Commons","https://auraofintelligence.github.io/grey-area-commons/","06","Separate adult-only project","Gentle adult connection questions and self-authored files"
"F38","image","i C. infinity ring photograph","i c infinity.jpg","00","Personal creative photograph","The hand-held infinity ring that became the site's favicon and glowing home button"
"F39","image","Luke with the many-coloured Aura","luke-catalyst-portrait.webp","01","Personal portrait already published in Luke's music archive","Luke in a striped shirt beside a rainbow meditation figure"
"F40","image","Starseed Code cover","cover-starseed.webp","03","Creative artwork already published in Luke's music archive","Colourful figures, birth, age and infinity gathered around a central light"
"F41","image","Songs of Straddie cover","cover-straddie.webp","07","Creative artwork already published in Luke's music archive","The Straddie shoreline, pandanus and the hand-held infinity ring"
"F42","image","Luke Universal Creator","hero-luke-universal-creator.webp","04","Playful composite already published in Luke's music archive","Luke reaches towards a glowing pillar in a cosmic field"
"F43","image","A Protopian Gambit visual study","hero-a-protopian-gambit.webp","10","Generated concept artwork already published in a Luke-directed public project","A crystalline figure, human form and tunnel of light used as speculative visual worldbuilding"
"F44","document","Luke Work and Education ResumUP timeline","Luke Work and Education.pdf","01","Luke-authored historical record","Luke's own saved ResumUP timeline recording his work, education, research, projects and life moments from 2000 through 2017. It covers practical employment, early web work, NEIS with Sarina Russo, CreatingAttraction.com.au, self-directed learning, community media, I Choose Infinity, StraddieInfo.com, GamifyDemocracy.com and AuraOZ."
"F45","document","Learning about Luke","Learning_about_Luke.md","01","Personal recollections in a reflective journalling conversation","Luke's own memories of childhood, more than 40 house moves, work, travel, family and life on Straddie. The biographical prose draws on his messages, not the AI's interpretations."
"S01","website","Luke on Facebook","https://www.facebook.com/hayzy123","01","Luke's public social profile","One of the places Luke has shared life, work and changing ideas in public"
"S02","website","Choose Infinity on X","https://twitter.com/choose_infinity","01","Luke's public social profile","A public stream carrying the Choose Infinity voice"
"S03","website","Luke Catalyst on Instagram","https://www.instagram.com/lukecatalyst","01","Luke's public social profile","A visual trail through Luke Catalyst's public life and ideas"
"S04","website","Luke Catalyst on LinkedIn","https://www.linkedin.com/in/lukecatalyst/","01","Luke's public professional profile","The professional thread through Luke's work, talks and experiments"
"S05","website","Luke Catalyst on Pinterest","https://www.pinterest.com.au/lukecatalyst/","05","Luke's public visual collection","Images and references that have fed Luke's visual imagination"
"S06","website","Luke's YouTube channel","https://www.youtube.com/channel/UC0mg83Rin_jsnFmbfcNuHtg","05","Luke's public video channel","The public home for moving images, talks and creative experiments"
"S07","website","Luke's Spotify profile","https://open.spotify.com/user/22riyjxhapaeyzi2tjrco34wi","05","Luke's public music profile","A public music doorway beside the i C. infinity lyric archive"
"F46","document","Australian C-Hour Legislative Strategy","Australian C-Hour Legislative Strategy.pdf","08","Source supplied by Luke Nathan Hayes","A strategy document exploring the Community-Hour and Australian legislation."
"F47","document","Clinical Research Path for Aura of Dementia","Clinical Research Path for Aura of Dementia (1).pdf","04","Source supplied by Luke Nathan Hayes","A first-draft research plan for an Aura dementia care system, developed with Google Gemini."
"F48","document","Space Weather Data IFTTT","Space Weather Data IFTTT.pdf","10","Source supplied by Luke Nathan Hayes","A conversation exploring space weather data, sensors and automated data connections."
"F49","document","What Would You Choose 2023","What Would You Choose 2023 (1).pdf","03","Source supplied by Luke Nathan Hayes","A 2023 slide collection exploring life choices, Sudden Life Gaming and Joyful Responsible Abundance."
"F50","image","Travel photograph beside a golden Buddha statue","WhatsApp Image 2026-09-06 at 11.00.37 AM (2).jpeg","09","Source supplied by Luke Nathan Hayes","A travel photograph beside a golden Buddha statue."
"F51","image","Tiny-planet travel photograph","WhatsApp Image 2026-09-06 at 11.00.37 AM.jpeg","09","Source supplied by Luke Nathan Hayes","A tiny-planet panorama from my travels."
"F52","image","A quiet moment beneath a chakra tapestry","WhatsApp Image 2026-09-06 at 11.00.39 AM (1).jpeg","03","Source supplied by Luke Nathan Hayes","A personal photograph beneath a chakra tapestry."
"F53","image","Travel and event photo collage","WhatsApp Image 2026-09-06 at 11.00.39 AM.jpeg","09","Source supplied by Luke Nathan Hayes","A selfie and event photograph brought together in a collage."
"F54","image","SDNx innovation lab event post","WhatsApp Image 2026-09-06 at 11.00.41 AM.jpeg","09","Source supplied by Luke Nathan Hayes","A saved public post about the SDNx innovation lab event in Kolhapur in June 2019."
"F55","image","Purple Party for Australia artwork","WhatsApp Image 2026-09-06 at 11.00.42 AM.jpeg","08","Source supplied by Luke Nathan Hayes","Purple Party for Australia artwork with Joyful Responsible Abundance."
"F56","image","Trying virtual reality","WhatsApp Image 2026-09-06 at 11.00.43 AM (1).jpeg","01","Source supplied by Luke Nathan Hayes","A personal photograph with a virtual reality headset."
